IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q2,WEALTHQUINTILE_WQ2,,,,18235,,,13774,,24027,18 235 [13 774-24 027],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q1 (Poorest),WEALTHQUINTILE_WQ1,,,,19392,,,14586,,25649,19 392 [14 586-25 649],,,EN,2025-04-14T18:30:00.000Z
CM_01,Number of under-five deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,80507,,,61618,,105235,80 507 [61 618-105 235],,,EN,2025-04-14T18:30:00.000Z
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,5-9 years,AGEGROUP_YEARS05-09,,,,,,,2.78,,,2.02,,3.51,2.8 [2.0-3.5],,,EN,2025-04-14T18:30:00.000Z
CM_04,Number of deaths among children ages 5 to 9 years,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,Sex,Both sexes,SEX_BTSX,Age Group,5-9 years,AGEGROUP_YEARS05-09,,,,,,,3323,,,2499,,4206,3323 [2499-4206],,,EN,2025-04-14T18:30:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,35.17,,,27.3,,45.09,35.2 [27.3-45.1],,,EN,2025-04-14T18:30:00.000Z
CM_03,Number of neonatal deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,51406,,,39916,,65907,51 406 [39 916-65 907],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,51.99,,,40.6,,66.23,52.0 [40.6-66.2],,,EN,2025-04-14T18:30:00.000Z
CM_02,Number of infant deaths,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,75133,,,58790,,95507,75 133 [58 790-95 507],,,EN,2025-04-14T18:30:00.000Z
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Q5 (Richest),WEALTHQUINTILE_WQ5,,,,41.1,,,31.21,,54.14,41.1 [31.2-54.1],,,EN,2025-04-14T18:30:00.000Z
